url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,108,60
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,58,32
/PetervanLunteren/AddaxAI/issues,25,8
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,18,16
/PetervanLunteren/AddaxAI/releases,17,13
/PetervanLunteren/AddaxAI/blob/main/README.md,16,4
/PetervanLunteren/AddaxAI/tree/main,14,6
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,11,10
/PetervanLunteren/AddaxAI/tree/main/install_files,10,8
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,10,1
