referrer,views_total,views_unique
Google,78,30
github.com,76,13
Bing,23,5
addaxdatascience.com,18,12
chatgpt.com,16,1
forum.addaxai.com,8,4
wildlabs.net,2,2
slunecnice.cz,2,1
web.telegram.org,2,1
Baidu,1,1
