url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,151,79
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,46,26
/PetervanLunteren/AddaxAI/releases,20,13
/PetervanLunteren/AddaxAI/blob/main/README.md,16,12
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,16,12
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,14,7
/PetervanLunteren/AddaxAI/tree/main/classification_utils,13,6
/PetervanLunteren/AddaxAI/tree/main/classification_utils/model_types,13,6
/PetervanLunteren/AddaxAI/pulls,12,8
/PetervanLunteren/AddaxAI/issues,10,9
