url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,145,79
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,43,25
/PetervanLunteren/AddaxAI/releases,20,13
/PetervanLunteren/AddaxAI/blob/main/README.md,16,12
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,16,12
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,12,5
/PetervanLunteren/AddaxAI/issues,10,9
/PetervanLunteren/AddaxAI/pulls,10,7
/PetervanLunteren/AddaxAI/tree/main/classification_utils,10,5
/PetervanLunteren/AddaxAI/tree/main/classification_utils/model_types,10,5
