url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,161,76
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,57,29
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,23,16
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,22,13
/PetervanLunteren/AddaxAI/blob/main/README.md,19,12
/PetervanLunteren/AddaxAI/releases,19,12
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,16,6
/PetervanLunteren/AddaxAI/tree/main/model_info,16,5
/PetervanLunteren/AddaxAI/pulls,13,7
/PetervanLunteren/AddaxAI/issues,10,9
