url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,161,88
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,51,35
/PetervanLunteren/AddaxAI/tree/main,27,12
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,25,13
/PetervanLunteren/AddaxAI/blob/main/markdown/AddaxAI_files_location.md,20,7
/PetervanLunteren/AddaxAI/releases,18,14
/PetervanLunteren/AddaxAI/tree/main/classification_utils,18,12
/PetervanLunteren/AddaxAI/tree/main/install_files,18,12
/PetervanLunteren/AddaxAI/releases/tag/v6.35,16,11
/PetervanLunteren/AddaxAI/tree/main/model_info,16,10
