referrer,views_total,views_unique
Google,120,34
github.com,101,17
addaxdatascience.com,44,17
forum.addaxai.com,25,5
Bing,15,5
statics.teams.cdn.office.net,9,2
search.brave.com,4,1
addaxdatascience-com.translate.goog,2,1
ecosia.org,2,1
pub.towardsai.net,2,1
