time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-16 00:00:00+00:00,19,10,27,16
2026-04-17 00:00:00+00:00,47,23,79,31
2026-04-18 00:00:00+00:00,33,15,41,22
2026-04-19 00:00:00+00:00,30,16,45,21
2026-04-20 00:00:00+00:00,99,50,83,39
2026-04-21 00:00:00+00:00,96,44,89,25
2026-04-22 00:00:00+00:00,145,60,69,18
2026-04-23 00:00:00+00:00,96,43,53,17
2026-04-24 00:00:00+00:00,112,43,53,21
2026-04-25 00:00:00+00:00,80,37,9,5
2026-04-26 00:00:00+00:00,31,13,32,15
2026-04-27 00:00:00+00:00,54,18,51,30
2026-04-28 00:00:00+00:00,30,12,49,18
2026-04-29 00:00:00+00:00,29,17,24,19
