referrer,views_total,views_unique
github.com,50,13
Google,49,25
addaxdatascience.com,44,14
forum.addaxai.com,15,6
pub.towardsai.net,14,1
Bing,8,5
search.brave.com,4,1
DuckDuckGo,2,1
Baidu,1,1
chatgpt.com,1,1
