referrer,views_total,views_unique
Google,70,29
github.com,50,11
addaxdatascience.com,31,17
Bing,24,6
chatgpt.com,16,1
forum.addaxai.com,11,4
wildlabs.net,3,3
slunecnice.cz,2,1
Baidu,1,1
DuckDuckGo,1,1
