referrer,views_total,views_unique
addaxdatascience.com,74,21
Google,58,33
github.com,38,15
Bing,9,6
forum.addaxai.com,4,3
Baidu,2,2
search.brave.com,2,1
statics.teams.cdn.office.net,1,1
