referrer,views_total,views_unique
Google,128,36
github.com,46,10
addaxdatascience.com,37,16
Bing,14,4
forum.addaxai.com,13,4
wildlabs.net,2,2
ecosia.org,2,1
Baidu,1,1
DuckDuckGo,1,1
search.brave.com,1,1
