referrer,views_total,views_unique
Google,40,21
github.com,38,10
pub.towardsai.net,14,1
Bing,12,7
forum.addaxai.com,11,4
addaxdatascience.com,6,5
DuckDuckGo,2,2
Baidu,1,1
chatgpt.com,1,1
towardsai.com,1,1
