referrer,views_total,views_unique
Google,129,30
github.com,63,23
addaxdatascience.com,52,20
Bing,24,5
statics.teams.cdn.office.net,5,3
forum.addaxai.com,4,2
kagi.com,3,2
wildlabs.net,2,2
editorialmanager.com,1,1
issues.ecosyste.ms,1,1
