referrer,views_total,views_unique
github.com,111,19
Google,86,31
addaxdatascience.com,47,20
Bing,45,6
forum.addaxai.com,29,6
statics.teams.cdn.office.net,9,2
search.brave.com,6,2
wildlabs.net,5,3
DuckDuckGo,4,3
addaxdatascience-com.translate.goog,4,2
