referrer,views_total,views_unique
Google,124,32
github.com,101,18
Bing,46,7
addaxdatascience.com,37,15
forum.addaxai.com,27,5
statics.teams.cdn.office.net,9,2
search.brave.com,6,2
addaxdatascience-com.translate.goog,4,2
DuckDuckGo,3,2
ecosia.org,2,1
