time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,32,12,11,7
2026-06-15 00:00:00+00:00,16,10,29,19
2026-06-16 00:00:00+00:00,23,8,24,10
2026-06-17 00:00:00+00:00,21,11,38,22
2026-06-18 00:00:00+00:00,25,10,48,11
2026-06-19 00:00:00+00:00,60,18,25,16
2026-06-20 00:00:00+00:00,59,24,37,11
2026-06-21 00:00:00+00:00,44,13,15,9
2026-06-22 00:00:00+00:00,45,14,25,11
2026-06-23 00:00:00+00:00,59,21,53,14
2026-06-24 00:00:00+00:00,37,12,45,8
2026-06-25 00:00:00+00:00,71,21,44,16
2026-06-26 00:00:00+00:00,25,11,16,9
2026-06-27 00:00:00+00:00,23,12,7,6
