url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,133,72
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,46,32
/PetervanLunteren/AddaxAI/releases,38,19
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,21,13
/PetervanLunteren/AddaxAI/tree/main/install_files,15,9
/PetervanLunteren/AddaxAI/releases/tag/v6.35,11,9
/PetervanLunteren/AddaxAI/blob/main/markdown/AddaxAI_files_location.md,11,4
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,10,6
/PetervanLunteren/AddaxAI/tree/main/install_files/macos,10,3
/PetervanLunteren/AddaxAI/tree/main,8,6
