url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,161,88
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,56,37
/PetervanLunteren/AddaxAI/releases,30,17
/PetervanLunteren/AddaxAI/issues,19,15
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,19,13
/PetervanLunteren/AddaxAI/tree/main/install_files,19,13
/PetervanLunteren/AddaxAI/tree/main/model_info,18,13
/PetervanLunteren/AddaxAI/blob/main/install_files/macos/grant-access.md,17,10
/PetervanLunteren/AddaxAI/pulls,16,16
/PetervanLunteren/AddaxAI/tree/main/install_files/linux,16,4
