time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-11 00:00:00+00:00,26,11,25,16
2026-05-12 00:00:00+00:00,33,17,24,10
2026-05-13 00:00:00+00:00,25,12,53,17
2026-05-14 00:00:00+00:00,22,10,34,18
2026-05-15 00:00:00+00:00,19,11,23,11
2026-05-16 00:00:00+00:00,18,8,11,8
2026-05-17 00:00:00+00:00,26,9,22,15
2026-05-18 00:00:00+00:00,48,24,35,18
2026-05-19 00:00:00+00:00,55,22,58,25
2026-05-20 00:00:00+00:00,40,18,85,29
2026-05-21 00:00:00+00:00,25,11,42,14
2026-05-22 00:00:00+00:00,42,17,22,8
2026-05-23 00:00:00+00:00,26,14,28,9
2026-05-24 00:00:00+00:00,18,9,29,10
