referrer,views_total,views_unique
Google,115,32
github.com,79,20
addaxdatascience.com,50,21
Bing,13,5
forum.addaxai.com,6,4
kagi.com,3,2
statics.teams.cdn.office.net,3,2
wildlabs.net,2,2
issues.ecosyste.ms,1,1
