url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,123,61
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,45,31
/PetervanLunteren/AddaxAI/releases,31,12
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,21,16
/PetervanLunteren/AddaxAI/blob/main/README.md,17,6
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,12,8
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,11,10
/PetervanLunteren/AddaxAI/tree/main,11,8
/PetervanLunteren/AddaxAI/tree/main/install_files,10,10
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,10,6
