referrer,views_total,views_unique
github.com,106,18
Google,105,35
addaxdatascience.com,70,30
Bing,45,7
forum.addaxai.com,12,4
statics.teams.cdn.office.net,11,3
wildlabs.net,5,3
DuckDuckGo,4,3
search.brave.com,4,2
chatgpt.com,3,2
