url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,136,72
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,42,29
/PetervanLunteren/AddaxAI/releases,38,19
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,23,16
/PetervanLunteren/AddaxAI/tree/main/install_files,17,11
/PetervanLunteren/AddaxAI/tree/main,14,10
/PetervanLunteren/AddaxAI/releases/tag/v6.35,13,10
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,10,6
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,10,6
/PetervanLunteren/AddaxAI/tree/main/install_files/macos,10,3
