referrer,views_total,views_unique
Google,122,34
github.com,49,12
addaxdatascience.com,38,17
Bing,18,5
chatgpt.com,16,1
forum.addaxai.com,13,4
wildlabs.net,2,2
Baidu,1,1
DuckDuckGo,1,1
search.brave.com,1,1
