referrer,views_total,views_unique
github.com,114,15
Google,84,36
addaxdatascience.com,23,12
Bing,20,6
chatgpt.com,16,1
forum.addaxai.com,4,3
perplexity.ai,3,1
wildlabs.net,2,2
slunecnice.cz,2,1
web.telegram.org,2,1
