referrer,views_total,views_unique
github.com,44,11
Google,39,21
addaxdatascience.com,10,9
Bing,8,6
Baidu,6,2
DuckDuckGo,3,3
forum.addaxai.com,3,2
pub.towardsai.net,1,1
towardsai.com,1,1
