time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-17 00:00:00+00:00,27,10,55,19
2026-03-18 00:00:00+00:00,52,27,87,23
2026-03-19 00:00:00+00:00,6,5,56,21
2026-03-20 00:00:00+00:00,36,19,55,15
2026-03-21 00:00:00+00:00,7,5,18,9
2026-03-22 00:00:00+00:00,22,10,13,6
2026-03-23 00:00:00+00:00,19,15,52,17
2026-03-24 00:00:00+00:00,17,12,62,20
2026-03-25 00:00:00+00:00,18,8,45,16
2026-03-26 00:00:00+00:00,19,13,34,22
2026-03-27 00:00:00+00:00,20,11,28,11
2026-03-28 00:00:00+00:00,4,4,40,10
2026-03-29 00:00:00+00:00,9,5,31,9
2026-03-30 00:00:00+00:00,93,18,52,19
