referrer,views_total,views_unique
github.com,107,19
Google,104,40
addaxdatascience.com,60,26
DuckDuckGo,21,3
Bing,15,9
forum.addaxai.com,12,4
chatgpt.com,4,3
statics.teams.cdn.office.net,4,2
wildlabs.net,3,2
towardsai.net,2,1
