url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,72,52
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,43,29
/PetervanLunteren/AddaxAI/releases,12,8
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,10,10
/PetervanLunteren/AddaxAI/tree/main,10,10
/PetervanLunteren/AddaxAI/releases/tag/v6.35,9,8
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,9,5
/PetervanLunteren/AddaxAI/pulls,9,5
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,8,7
/PetervanLunteren/AddaxAI/issues,7,6
