url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,112,65
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,59,34
/PetervanLunteren/AddaxAI/issues,25,8
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,17,15
/PetervanLunteren/AddaxAI/releases,17,13
/PetervanLunteren/AddaxAI/blob/main/README.md,16,4
/PetervanLunteren/AddaxAI/tree/main,15,7
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,10,9
/PetervanLunteren/AddaxAI/tree/main/install_files,10,8
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,10,1
