url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,117,58
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,65,38
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,26,21
/PetervanLunteren/AddaxAI/issues,23,7
/PetervanLunteren/AddaxAI/tree/main,20,10
/PetervanLunteren/AddaxAI/blob/main/README.md,19,6
/PetervanLunteren/AddaxAI/releases,16,10
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,15,13
/PetervanLunteren/AddaxAI/tree/main/install_files,14,12
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-windows-release.yml,10,5
