url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,187,94
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,55,37
/PetervanLunteren/AddaxAI/releases,34,16
/PetervanLunteren/AddaxAI/issues,21,17
/PetervanLunteren/AddaxAI/blob/main/install_files/macos/grant-access.md,19,12
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,18,12
/PetervanLunteren/AddaxAI/blob/main/classification_utils/model_types/deepfaune/classify_detections.py,16,3
/PetervanLunteren/AddaxAI/tree/main/model_info,15,12
/PetervanLunteren/AddaxAI/tree/main/install_files,14,11
/PetervanLunteren/AddaxAI/pulls,13,13
