url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,125,62
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,41,30
/PetervanLunteren/AddaxAI/releases,38,19
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,19,15
/PetervanLunteren/AddaxAI/tree/main/install_files,15,9
/PetervanLunteren/AddaxAI/tree/main,12,8
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,10,6
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,10,6
/PetervanLunteren/AddaxAI/tree/main/install_files/macos,10,3
/PetervanLunteren/AddaxAI/blob/main/install_files/macos/grant-access.md,9,9
