url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,139,86
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,44,31
/PetervanLunteren/AddaxAI/issues,16,10
/PetervanLunteren/AddaxAI/tree/main/install_files/linux,15,3
/PetervanLunteren/AddaxAI/releases,14,12
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,13,11
/PetervanLunteren/AddaxAI/tree/main,11,8
/PetervanLunteren/AddaxAI/tree/main/classification_utils,11,7
/PetervanLunteren/AddaxAI/tree/main/model_info,10,7
/PetervanLunteren/AddaxAI/tree/main/classification_utils/model_types,10,5
