time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-17 00:00:00+00:00,26,9,22,15
2026-05-18 00:00:00+00:00,48,24,35,18
2026-05-19 00:00:00+00:00,55,22,58,25
2026-05-20 00:00:00+00:00,40,18,85,29
2026-05-21 00:00:00+00:00,25,11,42,14
2026-05-22 00:00:00+00:00,42,17,22,8
2026-05-23 00:00:00+00:00,26,14,28,9
2026-05-24 00:00:00+00:00,18,9,29,10
2026-05-25 00:00:00+00:00,32,13,47,21
2026-05-26 00:00:00+00:00,16,10,50,16
2026-05-27 00:00:00+00:00,14,7,41,16
2026-05-28 00:00:00+00:00,51,25,54,16
2026-05-29 00:00:00+00:00,25,12,59,21
2026-05-30 00:00:00+00:00,6,5,13,8
