url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,161,84
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,54,36
/PetervanLunteren/AddaxAI/releases,29,16
/PetervanLunteren/AddaxAI/tree/main/install_files,19,12
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,18,12
/PetervanLunteren/AddaxAI/blob/main/install_files/macos/grant-access.md,18,11
/PetervanLunteren/AddaxAI/issues,17,13
/PetervanLunteren/AddaxAI/tree/main/model_info,16,12
/PetervanLunteren/AddaxAI/pulls,15,15
/PetervanLunteren/AddaxAI/tree/main/imgs,15,13
