referrer,views_total,views_unique
Google,88,30
github.com,51,12
addaxdatascience.com,39,18
Bing,19,5
chatgpt.com,16,1
forum.addaxai.com,13,4
wildlabs.net,2,2
Baidu,1,1
DuckDuckGo,1,1
search.brave.com,1,1
