referrer,views_total,views_unique
Google,142,37
github.com,68,18
addaxdatascience.com,52,22
Bing,20,6
statics.teams.cdn.office.net,5,3
forum.addaxai.com,4,2
kagi.com,3,2
wildlabs.net,2,2
editorialmanager.com,1,1
issues.ecosyste.ms,1,1
