url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,120,61
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,30,24
/PetervanLunteren/AddaxAI/blob/main/previous_versions/v4.3/install.command,21,2
/PetervanLunteren/AddaxAI/issues,12,9
/PetervanLunteren/AddaxAI/tree/main/previous_versions/v4.3,12,2
/PetervanLunteren/AddaxAI/tree/main,10,9
/PetervanLunteren/AddaxAI/blob/main/README.md,9,7
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,9,7
/PetervanLunteren/AddaxAI/releases/tag/v6.35,8,8
/PetervanLunteren/AddaxAI/releases,8,6
