referrer,views_total,views_unique
github.com,109,18
Google,97,35
addaxdatascience.com,45,19
DuckDuckGo,20,2
Bing,18,10
forum.addaxai.com,13,5
chatgpt.com,8,5
statics.teams.cdn.office.net,2,1
towardsai.net,2,1
