url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,141,84
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,43,29
/PetervanLunteren/AddaxAI/releases,18,13
/PetervanLunteren/AddaxAI/issues,16,10
/PetervanLunteren/AddaxAI/tree/main/install_files/linux,15,3
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,12,10
/PetervanLunteren/AddaxAI/tree/main/classification_utils,11,7
/PetervanLunteren/AddaxAI/tree/main/model_info,10,7
/PetervanLunteren/AddaxAI/tree/main/classification_utils/model_types,10,5
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,9,7
