url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,145,81
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,43,26
/PetervanLunteren/AddaxAI/releases,19,13
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,14,10
/PetervanLunteren/AddaxAI/issues,14,9
/PetervanLunteren/AddaxAI/blob/main/README.md,11,11
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,10,7
/PetervanLunteren/AddaxAI/tree/main/classification_utils,10,5
/PetervanLunteren/AddaxAI/tree/main/classification_utils/model_types,10,5
/PetervanLunteren/AddaxAI/pulls,9,7
