url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,61,44
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,58,39
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,18,14
/PetervanLunteren/AddaxAI/tree/main,12,10
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,11,10
/PetervanLunteren/AddaxAI/releases,11,7
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,10,4
/PetervanLunteren/AddaxAI/issues,7,6
/PetervanLunteren/AddaxAI/tree/main/model_info,7,6
/PetervanLunteren/AddaxAI/releases/tag/v6.35,6,5
