url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,138,73
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,47,33
/PetervanLunteren/AddaxAI/releases,35,17
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,28,14
/PetervanLunteren/AddaxAI/tree/main/install_files,17,11
/PetervanLunteren/AddaxAI/blob/main/markdown/AddaxAI_files_location.md,16,6
/PetervanLunteren/AddaxAI/releases/tag/v6.35,13,9
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,13,3
/PetervanLunteren/AddaxAI/blob/main/markdown/manual-download-weights.md,12,8
/PetervanLunteren/AddaxAI/issues,12,8
