referrer,views_total,views_unique
github.com,137,17
Google,93,38
addaxdatascience.com,27,13
Bing,18,5
chatgpt.com,16,1
forum.addaxai.com,4,3
perplexity.ai,3,1
wildlabs.net,2,2
slunecnice.cz,2,1
web.telegram.org,2,1
