url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,168,76
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,58,31
/PetervanLunteren/AddaxAI/releases,30,14
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,23,14
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,22,15
/PetervanLunteren/AddaxAI/blob/main/README.md,21,14
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,18,7
/PetervanLunteren/AddaxAI/tree/main/model_info,17,6
/PetervanLunteren/AddaxAI/issues/92,14,5
/PetervanLunteren/AddaxAI/issues,13,11
