referrer,views_total,views_unique
Google,81,31
github.com,41,11
addaxdatascience.com,24,14
Bing,23,5
chatgpt.com,16,1
forum.addaxai.com,8,4
wildlabs.net,2,2
slunecnice.cz,2,1
web.telegram.org,2,1
Baidu,1,1
