referrer,views_total,views_unique
github.com,114,14
Google,86,36
addaxdatascience.com,26,14
Bing,23,6
chatgpt.com,16,1
forum.addaxai.com,8,4
wildlabs.net,2,2
slunecnice.cz,2,1
web.telegram.org,2,1
Baidu,1,1
