referrer,views_total,views_unique
github.com,156,20
Google,98,39
Bing,33,6
addaxdatascience.com,23,11
chatgpt.com,16,1
forum.addaxai.com,3,2
perplexity.ai,3,1
slunecnice.cz,2,1
web.telegram.org,2,1
Baidu,1,1
