url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,187,96
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,59,41
/PetervanLunteren/AddaxAI/releases,34,17
/PetervanLunteren/AddaxAI/issues,21,17
/PetervanLunteren/AddaxAI/blob/main/install_files/macos/grant-access.md,19,12
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,18,13
/PetervanLunteren/AddaxAI/tree/main/model_info,17,14
/PetervanLunteren/AddaxAI/pulls,15,15
/PetervanLunteren/AddaxAI/tree/main/install_files,14,11
/PetervanLunteren/AddaxAI/tree/main/classification_utils,14,9
