url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,129,64
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,55,38
/PetervanLunteren/AddaxAI/blob/main/previous_versions/v4.3/install.command,16,2
/PetervanLunteren/AddaxAI/issues,15,10
/PetervanLunteren/AddaxAI/tree/main/previous_versions/v4.3,11,2
/PetervanLunteren/AddaxAI/tree/main,10,9
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,10,8
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,10,7
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,9,2
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,8,8
