url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,129,88
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,39,31
/PetervanLunteren/AddaxAI/issues,15,9
/PetervanLunteren/AddaxAI/tree/main/install_files/linux,15,3
/PetervanLunteren/AddaxAI/releases,13,12
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,12,10
/PetervanLunteren/AddaxAI/tree/main/classification_utils,11,7
/PetervanLunteren/AddaxAI/blob/main/README.md,10,7
/PetervanLunteren/AddaxAI/tree/main/model_info,10,7
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,10,5
