url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,140,78
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,47,29
/PetervanLunteren/AddaxAI/releases,19,13
/PetervanLunteren/AddaxAI/issues,16,9
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,13,9
/PetervanLunteren/AddaxAI/tree/main/classification_utils/model_types,11,5
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,10,7
/PetervanLunteren/AddaxAI/pulls,9,7
/PetervanLunteren/AddaxAI/tree/main/classification_utils,9,4
/PetervanLunteren/AddaxAI/blob/main/README.md,7,7
