url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,103,70
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,61,31
/PetervanLunteren/AddaxAI/issues,26,9
/PetervanLunteren/AddaxAI/releases,19,14
/PetervanLunteren/AddaxAI/tree/main,18,10
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,17,15
/PetervanLunteren/AddaxAI/blob/main/README.md,13,3
/PetervanLunteren/AddaxAI/blob/main/markdown/quick-test.md,10,2
/PetervanLunteren/AddaxAI/tree/main/classification_utils,9,6
/PetervanLunteren/AddaxAI/releases/tag/v6.35,8,7
