url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,130,65
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,36,26
/PetervanLunteren/AddaxAI/releases,33,14
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,21,16
/PetervanLunteren/AddaxAI/tree/main/install_files,15,9
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,11,7
/PetervanLunteren/AddaxAI/tree/main,11,7
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,10,6
/PetervanLunteren/AddaxAI/tree/main/install_files/macos,10,3
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/disable-anti-virus.md,9,8
