referrer,views_total,views_unique
Google,134,36
github.com,65,20
addaxdatascience.com,52,21
Bing,13,6
forum.addaxai.com,7,5
statics.teams.cdn.office.net,3,2
wildlabs.net,2,2
kagi.com,2,1
issues.ecosyste.ms,1,1
teams.public.onecdn.static.microsoft,1,1
