url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,144,74
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,45,31
/PetervanLunteren/AddaxAI/releases,31,15
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,26,13
/PetervanLunteren/AddaxAI/tree/main,22,8
/PetervanLunteren/AddaxAI/tree/main/install_files,18,12
/PetervanLunteren/AddaxAI/blob/main/markdown/AddaxAI_files_location.md,17,6
/PetervanLunteren/AddaxAI/tree/main/model_info,14,8
/PetervanLunteren/AddaxAI/issues,13,9
/PetervanLunteren/AddaxAI/releases/tag/v6.35,13,9
