url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,196,101
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,65,44
/PetervanLunteren/AddaxAI/releases,35,17
/PetervanLunteren/AddaxAI/issues,20,16
/PetervanLunteren/AddaxAI/blob/main/install_files/macos/grant-access.md,20,13
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,18,13
/PetervanLunteren/AddaxAI/tree/main/model_info,17,14
/PetervanLunteren/AddaxAI/pulls,16,16
/PetervanLunteren/AddaxAI/tree/main,15,15
/PetervanLunteren/AddaxAI/tree/main/classification_utils,15,10
