url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,200,100
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,57,39
/PetervanLunteren/AddaxAI/releases,33,18
/PetervanLunteren/AddaxAI/tree/main,31,17
/PetervanLunteren/AddaxAI/tree/main/model_info,22,15
/PetervanLunteren/AddaxAI/tree/main/classification_utils,21,13
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,18,11
/PetervanLunteren/AddaxAI/issues,17,16
/PetervanLunteren/AddaxAI/blob/main/model_info/model_info_v5.json,16,10
/PetervanLunteren/AddaxAI/pulls,15,15
