referrer,views_total,views_unique
Google,36,19
github.com,16,5
Bing,14,8
addaxdatascience.com,11,8
Baidu,5,1
search.nortonsafesearch.com,4,1
DuckDuckGo,3,3
forum.addaxai.com,3,2
