url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,146,86
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,53,37
/PetervanLunteren/AddaxAI/releases,23,14
/PetervanLunteren/AddaxAI/issues,19,13
/PetervanLunteren/AddaxAI/tree/main/model_info,17,12
/PetervanLunteren/AddaxAI/blob/main/install_files/macos/grant-access.md,17,10
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/all-user-install.md,16,11
/PetervanLunteren/AddaxAI/tree/main/install_files,16,11
/PetervanLunteren/AddaxAI/tree/main/install_files/linux,16,4
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,15,13
