referrer,views_total,views_unique
addaxdatascience.com,71,17
Google,70,34
github.com,46,15
Bing,9,6
forum.addaxai.com,4,3
DuckDuckGo,2,1
search.brave.com,2,1
Baidu,1,1
ecosia.org,1,1
statics.teams.cdn.office.net,1,1
