time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,16,10,50,16
2026-05-27 00:00:00+00:00,14,7,41,16
2026-05-28 00:00:00+00:00,51,25,54,16
2026-05-29 00:00:00+00:00,25,12,59,21
2026-05-30 00:00:00+00:00,6,5,13,8
2026-05-31 00:00:00+00:00,16,11,28,10
2026-06-01 00:00:00+00:00,19,10,66,11
2026-06-02 00:00:00+00:00,22,8,24,14
2026-06-03 00:00:00+00:00,24,13,17,13
2026-06-04 00:00:00+00:00,23,13,41,26
2026-06-05 00:00:00+00:00,23,10,33,14
2026-06-06 00:00:00+00:00,13,7,25,9
2026-06-07 00:00:00+00:00,15,10,10,4
2026-06-08 00:00:00+00:00,20,10,36,19
